CPUE;CATCH;YEAR;WEEK;EFFORT
51;262.121;2007;37;5.139627451
90;825.968;2007;38;9.177422222
68;596.145;2007;39;8.766838235
64;545.03;2007;40;8.51609375
60;563.696;2007;41;9.394933333
72;808.544;2007;42;11.22977778
75;738.174;2007;43;9.84232
75;639.408;2007;44;8.52544
65;684.317;2007;45;10.52795385
65;747.563;2007;46;11.50096923
58;607.774;2007;47;10.47886207
61;569.376;2007;48;9.334032787
50;484.241;2007;49;9.68482
41;288.609;2007;50;7.039243902
91;177.896;2008;35;1.954901099
64;406.106;2008;36;6.34540625
51;610.719;2008;37;11.97488235
50;597.399;2008;38;11.94798
58;664.42;2008;39;11.45551724
65;728.135;2008;40;11.20207692
53;715.571;2008;41;13.50133962
52;707.133;2008;42;13.59871154
53;640.034;2008;43;12.07611321
40;514.42;2008;44;12.8605
43;381.343;2008;45;8.86844186
40;438.555;2008;46;10.963875
39;433.764;2008;47;11.12215385
33;367.294;2008;48;11.13012121
33;400.82;2008;49;12.14606061
30;330.63;2008;50;11.021
62;189.799;2009;36;3.061274194
52;350.043;2009;37;6.731596154
41;480.536;2009;38;11.72039024
39;462.126;2009;39;11.84938462
41;495.41;2009;40;12.08317073
34;411.312;2009;41;12.09741176
31;389.042;2009;42;12.54974194
39;491.886;2009;43;12.61246154
35;465.372;2009;44;13.29634286
37;418.458;2009;45;11.30967568
33;351.581;2009;46;10.6539697
27;321.387;2009;47;11.90322222
33;289.407;2009;48;8.769909091
29;264.497;2009;49;9.120586207
27;297.838;2009;50;11.03103704
44;226.668;2010;35;5.151545455
58;443.827;2010;36;7.652189655
53;294.286;2010;37;5.552566038
53;464.6;2010;38;8.766037736
53;477.472;2010;39;9.00890566
43;350.474;2010;40;8.15055814
62;441.671;2010;41;7.123725806
42;257.686;2010;42;6.135380952
36;278.443;2010;43;7.734527778
33;178.506;2010;44;5.409272727
25;133.554;2010;45;5.34216
20;80.007;2010;46;4.00035
22;48.273;2010;47;2.194227273
11;16.38;2010;48;1.489090909
15;32.595;2010;49;2.173
12;19.318;2010;50;1.609833333
80;409.053;2011;35;5.1131625
87;806.518;2011;36;9.270321839
78;646.901;2011;37;8.293602564
71;633.272;2011;38;8.919323944
66;671.548;2011;39;10.1749697
72;400.521;2011;40;5.562791667
38;40.632;2011;41;1.069263158
NA;1.17;2011;42;
NA;0.929;2011;43;
NA;NA;2011;44;
37;23.565;2011;45;0.636891892
49;66.373;2011;46;1.35455102
110;773.244;2012;35;7.029490909
122;838.88;2012;36;6.876065574
109;897.757;2012;37;8.236302752
91;517.131;2012;38;5.682758242
94;572.196;2012;39;6.087191489
96;680.068;2012;40;7.084041667
69;471.424;2012;41;6.832231884
106;292.583;2012;42;2.760216981
215;288.523;2013;34;1.341967442
169;1024.856;2013;35;6.064236686
171;919.918;2013;36;5.379637427
152;1029.664;2013;37;6.774105263
174;991.229;2013;38;5.696718391
169;555.689;2013;39;3.288100592
136;510.235;2013;40;3.751727941
163;37.817;2013;41;0.232006135
234;874;2014;38;3.735744194
276;933;2014;39;3.37634216
232;960;2014;40;4.134231909
253;1019;2014;41;4.023511675
213;1000;2014;42;4.702454181
224;997;2014;43;4.455730268
241;56;2015;36;0.232579187
256;942;2015;37;3.683450254
263;1057;2015;38;4.014457655
211;1040;2015;39;4.935173788
238;925;2015;40;3.886554622
208;1205;2015;41;5.793269231
201;659;2015;42;3.278606965
197;367;2015;43;1.862944162
213;628;2016;38;2.956206267
192;970;2016;39;5.044249924
193;1095;2016;40;5.674588987
166;1101;2016;41;6.621644238
153;865;2016;42;5.640847643
152;1114;2016;43;7.338238032
168;1162;2016;44;6.920016195
192;881.944;2017;36;4.587456229
203;1019.703;2017;37;5.016510229
170;959.516;2017;38;5.648581285
164;918.889;2017;39;5.604591408
139;931.789;2017;40;6.680703293
145;777.339;2017;41;5.371504594
133;695.399;2017;42;5.223865989
125;550.828;2017;43;4.423113646
109;342.313;2017;44;3.15107675
272.9489793;123.666;2018;36;0.453073686
233.9104128;623.296;2018;37;2.664678296
227.3182614;904.836;2018;38;3.98048091
245.5845469;1085.096;2018;39;4.418421328
201.7612615;1123.54;2018;40;5.568660662
237.9320172;1152.573;2018;41;4.844127384
207.2924967;1161.333;2018;42;5.602388019
184.7197069;1298.321;2018;43;7.028600369
156.7382583;878.524;2018;44;5.605038676
163.0791836;564.108;2018;45;3.459104882
146.8308051;241.941;2018;46;1.647753684
101.2872305;30.139;2018;47;0.297559721
