,sex,ns,lc,lt,w
154,f,0,45,36,40
473,f,0,58,44,53
2373,f,0,61,57,150
1143,f,0,61,46,78
104,f,0,61,36,35
1057,f,0,62,49,75
757,f,0,63,57,63
759,f,0,65,53,63
1413,f,0,65,53,88
1565,f,0,65,50,95
1820,f,0,66,49,105
1575,f,0,66,53,95
2370,f,0,68,56.5,149
1307,f,0,68,52,83
1118,f,0,68,50,76
2083,f,0,68,61,120
1784,f,0,68,52,103
1798,f,0,69,59,104
1586,f,0,70,50,95
174,m,1,70,44,40
381,m,1,70,43,50
1725,f,0,70,55,100
1130,f,0,70,54,77
1628,f,0,70,52,97
325,m,1,70,41,48
300,m,1,70,43,46
1728,f,0,70,57,100
2314,f,0,73,50,140
1663,m,1,75,49,98
337,m,1,75,42,48
2444,f,0,75,63,175
2131,f,0,75,60,122
483,m,1,75,43,53
574,m,1,77,47,56
1131,m,1,78,46,77
2405,f,0,78,59,156
724,m,1,78,46,62
1227,m,1,79,48,80
873,m,1,80,47,67
221,m,1,80,46,42
1535,m,1,80,49,93
791,m,1,82,50,64
1240,m,1,83,54,80
1042,m,1,85,50,73
1168,m,1,87,50,79
1379,m,1,90,50,85
1384,m,1,92,53,85
