YEAR;MONTH;SEX;CARAPACE;AREA;SHELL
2013;11;M;111;3703;30
2013;11;M;134;3703;31
2013;11;M;117;3703;30
2013;11;M;119;3703;31
2013;11;M;109;3703;30
2013;11;M;132;3703;30
2013;11;M;121;3703;30
2013;11;M;125;3703;30
2013;11;M;128;3703;30
2013;11;M;118;3703;30
2013;11;M;78;3703;30
2013;11;M;141;3703;30
2013;11;M;122;3703;30
2013;11;M;132;3703;30
2013;11;M;127;3703;30
2013;11;M;134;3703;30
2013;11;M;121;3703;30
2013;11;M;132;3703;30
2013;11;M;118;3703;30
2013;11;M;121;3703;30
2013;11;M;120;3703;30
2013;11;M;122;3703;30
2013;11;M;117;3703;30
2013;11;M;131;3703;30
2013;11;M;137;3703;30
2013;11;M;125;3703;30
2013;11;M;114;3703;30
2013;11;M;118;3703;30
2013;11;M;123;3703;30
2013;11;M;115;3703;30
2013;11;M;132;3703;30
2013;11;M;135;3703;30
2013;11;M;140;3703;30
2013;11;M;135;3703;30
2013;11;M;138;3703;30
2013;11;M;126;3703;30
2013;11;M;92;3703;30
2013;11;M;108;3703;30
2013;11;M;115;3703;30
2013;11;M;108;3703;30
2013;11;M;112;3703;30
2013;11;M;135;3703;30
2013;11;M;91;3703;30
2013;11;M;114;3703;30
2013;11;M;100;3703;30
2013;11;M;115;3703;31
2013;11;M;103;3703;30
2013;11;M;132;3703;30
2013;11;M;117;3703;30
2013;11;M;112;3703;30
2013;11;M;106;3703;30
2013;11;M;128;3703;30
2013;11;M;114;3703;30
2013;11;M;118;3703;30
2013;11;M;113;3703;30
2013;11;M;114;3703;30
2013;11;M;112;3703;30
2013;11;M;99;3703;30
2013;11;M;111;3703;30
2013;11;M;129;3703;30
2013;11;M;132;3703;30
2013;11;M;127;3703;30
2013;11;M;111;3703;30
2013;11;M;112;3703;30
2013;11;M;113;3703;30
2013;11;M;117;3703;30
2013;11;M;131;3703;30
2013;11;M;117;3703;30
2013;11;M;92;3703;30
2013;11;M;137;3703;30
2013;11;M;118;3703;30
2013;11;M;124;3703;30
2013;11;M;123;3703;30
2013;11;M;112;3703;30
2013;11;M;143;3703;30
2013;11;M;117;3703;30
2013;11;M;118;3703;30
2013;11;M;82;3703;30
2013;11;M;122;3703;30
2013;11;M;109;3703;30
2013;11;M;123;3703;30
2013;11;M;116;3703;30
2013;11;M;132;3703;30
2013;11;M;107;3703;30
2013;11;M;106;3703;30
2013;11;M;128;3703;30
2013;11;M;114;3703;30
2013;11;M;115;3703;30
2013;11;M;121;3703;30
2013;11;M;123;3703;30
2013;11;M;118;3703;30
2013;11;M;115;3703;30
2013;11;M;115;3703;30
2013;11;M;116;3703;30
2013;11;M;117;3703;30
2013;11;M;140;3703;30
2013;11;M;117;3703;30
2013;11;M;118;3703;30
2013;11;M;128;3703;30
2013;11;M;141;3703;30
2013;11;M;118;3703;30
2013;11;M;138;3703;30
2013;11;M;125;3703;30
2013;11;M;128;3703;30
2013;11;M;87;3703;30
2013;11;M;114;3703;30
2013;11;M;131;3703;31
2013;11;M;141;3703;31
2013;11;M;127;3703;30
2013;11;M;115;3703;30
2013;11;M;108;3703;30
2013;11;M;120;3703;30
2013;11;M;111;3703;30
2013;11;M;87;3703;30
2013;11;M;104;3703;30
2013;11;M;124;3703;30
2013;11;M;96;3703;30
2013;11;M;95;3703;30
2013;11;M;117;3703;30
2013;11;M;105;3703;30
2013;11;M;105;3703;30
2013;11;M;130;3703;30
2013;11;M;115;3703;30
2013;11;M;143;3703;30
2013;11;M;107;3703;30
2013;11;M;112;3703;30
2013;11;M;111;3703;30
2013;11;M;108;3703;30
2013;11;M;125;3703;30
2013;11;M;117;3703;30
2013;11;M;119;3703;30
2013;11;M;127;3703;30
2013;11;M;135;3703;30
2013;11;M;141;3703;30
2013;11;M;117;3703;30
2013;11;M;114;3703;30
2013;11;M;111;3703;30
2013;11;M;128;3703;30
2013;11;M;135;3703;30
2013;11;M;118;3703;30
2013;11;M;115;3703;30
2013;11;M;125;3703;30
2013;11;M;108;3703;30
2013;11;M;120;3703;30
2013;11;M;107;3703;30
2013;11;M;125;3703;30
2013;11;M;109;3703;30
2013;11;M;125;3703;30
2013;11;M;129;3703;30
2013;11;M;130;3703;30
