YEAR;MONTH;SEX;CARAPACE;AREA;SHELL
2004;9;M;17;3501;
2006;9;M;49;3501;20
2006;9;M;47;3501;20
2006;9;M;56;3503;
2006;9;M;56;3503;
2006;9;M;21;3503;
2006;9;M;39;3503;20
2006;9;M;46;3501;20
2006;9;M;24;3501;20
2006;9;M;22;3501;20
2006;9;M;35;3501;20
2006;9;M;43;3501;20
2006;9;F;34;3501;
2006;9;M;33;3501;
2006;9;F;34;3501;
2006;9;M;35;3501;
2006;9;F;36;3501;
2006;9;M;41;3501;
2006;9;M;79;3501;20
2006;9;F;48;3501;20
2006;9;F;48;3501;20
2006;9;F;35;3501;20
2006;9;M;31;3501;20
2006;9;M;22;3501;20
2006;9;M;74;3501;20
2006;9;M;28;3501;
2006;9;M;22;3501;
2006;9;F;60;3703;30
2016;8;M;24;3108;
2016;8;M;25;3108;
2016;8;F;19;3108;
2016;8;M;23;3108;
2016;8;F;32;3108;
2016;8;F;18;3108;
2016;8;M;22;3108;
2016;8;F;24;3108;
2016;8;M;20;3108;
2016;8;M;60;3108;30
2016;8;F;33;3108;
2016;8;F;29;3108;
2016;8;M;22;3108;
2016;8;M;30;3108;
2016;8;M;30;3108;
2016;8;M;23;3108;
2016;8;M;13;3108;
2016;8;F;20;3108;
2016;8;M;30;3103;
2016;8;M;20;3103;
2016;8;M;22;3103;
2016;8;M;14;3103;
2016;8;F;39;3103;
2016;8;M;87;3103;30
2016;8;F;38;3103;
2016;8;M;20;3103;
2016;8;M;36;3102;
2016;8;M;31;3102;
2016;8;F;36;3102;
2016;8;M;33;3102;
2016;8;F;38;3102;
2016;8;F;20;3102;
2016;8;M;20;3102;
2016;8;M;19;3102;
2016;8;M;32;3102;
2016;8;F;36;3102;
2016;8;M;40;3102;
2016;8;F;30;3102;
2016;8;M;30;3102;
2016;8;M;28;3102;
2016;8;F;26;3102;
2016;8;M;14;3102;
2016;8;M;18;3102;
2016;8;M;18;3102;
2016;8;F;13;3102;
2016;8;F;46;3103;
2016;8;M;34;3102;
2016;8;F;34;3102;
2016;8;F;39;3102;
2016;8;M;30;3102;
2016;8;F;33;3102;
2016;8;M;13;3102;
2016;8;F;46;3102;
2016;8;M;42;3102;
2016;8;M;51;3102;
2016;8;M;55;3102;
2016;8;M;73;3102;30
2016;8;M;44;3102;
2016;8;F;36;3102;30
2016;8;M;37;3102;
2016;8;F;36;3102;
2016;8;F;33;3102;
2016;8;M;33;3102;
2016;8;M;39;3102;
2016;8;F;35;3102;
2016;8;F;33;3102;
2016;8;F;33;3102;
2016;8;M;21;3102;
2016;8;F;35;3102;
2016;8;F;37;3102;
2016;8;F;36;3102;
2016;8;M;50;3102;
2016;8;M;54;3102;
2016;8;M;51;3102;
2016;8;M;46;3102;
2016;8;F;41;3102;
2016;8;F;38;3102;
2016;8;M;34;3102;
2016;8;M;36;3102;
2016;8;M;34;3102;
2016;8;M;32;3102;
2016;8;M;21;3102;
2016;8;M;36;3102;
2016;8;F;36;3102;
2016;8;M;38;3102;
2016;8;F;33;3102;
2016;8;F;36;3102;
2016;8;F;27;3102;
2016;8;F;36;3102;
2016;8;F;41;3102;20
2016;8;F;45;3102;
2016;8;F;24;3102;
2016;8;M;32;3102;
2016;8;F;37;3102;
2016;8;M;35;3102;
2016;8;F;50;3102;30
2016;8;M;23;3102;
2016;8;M;21;3102;
2016;8;M;19;3102;
2016;8;M;35;3102;
2016;8;M;32;3102;
2016;8;M;34;3102;
2016;8;F;18;3102;
2016;8;M;44;3102;
2016;8;F;41;3102;
2016;8;M;25;3102;
2016;8;M;19;3102;
2016;8;F;19;3102;
2016;8;M;17;3102;
2016;8;M;16;3102;
2016;8;F;37;3102;
2016;8;F;23;3102;
2016;8;M;23;3102;
2016;8;F;26;3102;
2016;8;M;19;3102;
2016;8;M;30;3102;
2016;8;M;28;3102;
