"year","C10","C12","C14","C16"
2025,146.545270268271,146.545270268271,146.545270268271,146.545270268271
2026,152.503609364476,150.537411112497,148.526527475069,146.536270994936
2027,158.280480835478,154.691523387912,150.844600381197,147.064551508936
2028,161.200119553767,156.542630295144,151.039561189743,145.737006771962
2029,165.901813855341,159.825282846879,152.98047444613,146.440841770345
2030,168.387699712194,160.910415207746,153.393107391794,145.2031399607
2031,171.30643552845,163.026909715672,154.040819203782,145.146958618635
2032,172.355348396225,163.755183806795,154.522326234581,144.494621275839
2033,174.249674261114,165.152783019999,155.23982825942,144.203145614592
2034,177.208340426008,167.165282703984,156.257121763545,144.871963889582
